2026-03-29 17:06:44.922 | INFO     | Models:__log_hyperparmeters__:62 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.001, 'verbose': 100}
2026-03-29 17:10:14.232 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:10:14.247 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.001, 'verbose': 100}
2026-03-29 17:11:31.128 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:11:31.135 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.001, 'verbose': 100}
2026-03-29 17:11:51.276 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:11:51.289 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.001, 'verbose': 100}
2026-03-29 17:12:02.237 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:12:02.247 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:14:39.458 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:14:54.416 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:14:54.425 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
2026-03-29 17:17:52.736 | INFO     | Models:train_test_split:40 - Class: MLPNet | test_size: 0.3, train_shape: (7245, 16), test_shape: (3105, 16)
2026-03-29 17:17:52.743 | INFO     | Models:__log_hyperparmeters__:63 - Class: MLPNet | hyperparams: {'epochs': 100, 'lr': 0.0001, 'verbose': 100}
